iter	Passed	Remaining
0	146	146587
1	148	74003
2	150	49937
3	152	38086
4	153	30562
5	154	25534
6	154	21952
7	155	19263
8	156	17190
9	156	15536
10	157	14176
11	158	13063
12	159	12115
13	160	11310
14	161	10605
15	162	9978
16	163	9426
17	163	8932
18	164	8491
19	165	8090
20	165	7727
21	166	7394
22	166	7090
23	167	6809
24	168	6553
25	168	6316
26	169	6097
27	169	5893
28	170	5704
29	170	5526
30	171	5361
31	172	5206
32	172	5059
33	173	4921
34	173	4790
35	174	4671
36	175	4563
37	175	4453
38	176	4347
39	177	4248
40	177	4155
41	178	4069
42	179	3983
43	179	3901
44	180	3831
45	182	3777
46	183	3723
47	185	3669
48	186	3617
49	187	3565
50	188	3512
51	190	3465
52	191	3420
53	193	3382
54	194	3337
55	195	3290
56	196	3242
57	196	3198
58	197	3154
59	198	3109
60	199	3066
61	199	3024
62	200	2983
63	201	2943
64	202	2905
65	202	2867
66	203	2829
67	203	2794
68	204	2758
69	205	2723
70	205	2690
71	206	2656
72	206	2625
73	207	2594
74	207	2563
75	208	2534
76	208	2504
77	209	2476
78	210	2450
79	210	2425
80	211	2398
81	211	2373
82	212	2345
83	212	2322
84	213	2298
85	214	2274
86	214	2251
87	215	2229
88	215	2207
89	216	2186
90	216	2165
91	217	2145
92	217	2125
93	218	2105
94	219	2086
95	219	2067
96	220	2049
97	220	2030
98	221	2013
99	221	1995
100	222	1979
101	223	1965
102	224	1952
103	224	1936
104	225	1921
105	225	1905
106	226	1891
107	227	1876
108	227	1861
109	228	1846
110	228	1833
111	229	1819
112	230	1806
113	230	1792
114	231	1779
115	231	1766
116	232	1752
117	232	1739
118	233	1727
119	233	1715
120	234	1703
121	234	1690
122	235	1679
123	236	1669
124	237	1659
125	237	1649
126	238	1639
127	239	1629
128	239	1618
129	240	1610
130	241	1601
131	241	1590
132	242	1580
133	243	1570
134	243	1562
135	244	1552
136	244	1542
137	245	1533
138	246	1524
139	246	1515
140	247	1506
141	247	1496
142	248	1487
143	248	1479
144	249	1470
145	249	1461
146	250	1453
147	251	1445
148	251	1437
149	252	1429
150	252	1420
151	253	1413
152	253	1405
153	254	1397
154	254	1389
155	255	1382
156	255	1374
157	256	1366
158	257	1359
159	257	1352
160	257	1344
161	258	1337
162	259	1329
163	259	1323
164	260	1316
165	260	1309
166	261	1302
167	261	1296
168	262	1289
169	262	1283
170	263	1276
171	263	1270
172	264	1264
173	265	1258
174	265	1252
175	266	1247
176	266	1240
177	267	1235
178	268	1230
179	268	1225
180	269	1219
181	270	1213
182	270	1208
183	271	1203
184	272	1198
185	272	1193
186	273	1188
187	273	1183
188	274	1178
189	275	1173
190	275	1167
191	276	1162
192	276	1157
193	277	1152
194	277	1147
195	278	1142
196	279	1137
197	279	1132
198	280	1128
199	280	1123
200	281	1118
201	282	1114
202	282	1110
203	283	1106
204	284	1103
205	285	1099
206	285	1095
207	286	1090
208	287	1086
209	287	1082
210	288	1078
211	288	1073
212	289	1069
213	290	1065
214	290	1061
215	291	1057
216	291	1052
217	292	1048
218	292	1044
219	293	1040
220	293	1036
221	294	1032
222	295	1028
223	295	1024
224	296	1020
225	296	1016
226	297	1013
227	298	1009
228	298	1005
229	299	1002
230	300	998
231	300	995
232	301	991
233	301	987
234	302	983
235	302	980
236	303	976
237	303	973
238	304	969
239	305	965
240	305	962
241	306	958
242	306	955
243	307	951
244	307	948
245	308	946
246	309	942
247	309	939
248	310	936
249	310	932
250	311	929
251	312	926
252	312	923
253	313	920
254	313	917
255	314	914
256	315	911
257	315	908
258	316	905
259	316	902
260	317	899
261	318	896
262	318	893
263	319	890
264	319	887
265	320	884
266	321	881
267	321	878
268	322	875
269	322	872
270	323	869
271	324	867
272	324	864
273	325	862
274	326	859
275	326	857
276	327	854
277	328	852
278	328	849
279	329	847
280	330	844
281	330	842
282	331	839
283	331	836
284	332	834
285	333	831
286	333	828
287	334	826
288	334	823
289	335	820
290	335	818
291	336	815
292	336	812
293	337	810
294	338	807
295	338	805
296	339	802
297	339	800
298	340	798
299	341	795
300	341	793
301	342	790
302	342	788
303	343	785
304	343	783
305	344	781
306	345	779
307	346	777
308	346	775
309	347	773
310	348	771
311	348	768
312	349	766
313	349	764
314	350	762
315	351	760
316	351	757
317	352	755
318	352	753
319	353	750
320	354	749
321	354	747
322	355	744
323	355	742
324	356	740
325	357	738
326	357	735
327	358	733
328	358	731
329	359	729
330	360	727
331	360	725
332	361	723
333	361	721
334	362	719
335	363	717
336	363	715
337	364	713
338	365	711
339	365	709
340	366	707
341	366	705
342	367	703
343	367	701
344	368	699
345	368	697
346	369	695
347	370	693
348	370	691
349	371	689
350	371	687
351	372	684
352	372	682
353	373	680
354	373	678
355	374	677
356	374	675
357	375	673
358	376	671
359	376	670
360	377	668
361	378	666
362	378	664
363	379	662
364	380	661
365	381	660
366	381	658
367	382	656
368	383	655
369	383	653
370	384	651
371	384	649
372	385	647
373	386	646
374	386	644
375	387	642
376	387	640
377	388	638
378	388	637
379	389	635
380	390	634
381	390	632
382	391	630
383	391	628
384	392	626
385	393	625
386	393	623
387	394	621
388	394	619
389	395	618
390	395	616
391	396	614
392	396	612
393	397	611
394	397	609
395	398	607
396	399	606
397	399	604
398	400	602
399	400	601
400	401	599
401	402	598
402	402	596
403	403	594
404	403	593
405	404	591
406	405	590
407	405	588
408	406	586
409	406	585
410	407	583
411	407	582
412	408	580
413	408	578
414	409	577
415	410	575
416	410	574
417	411	572
418	412	571
419	412	569
420	413	568
421	413	566
422	414	565
423	414	563
424	415	562
425	416	560
426	416	559
427	417	557
428	417	555
429	418	554
430	418	553
431	419	551
432	420	550
433	420	548
434	421	547
435	422	546
436	423	545
437	423	543
438	424	542
439	425	541
440	425	539
441	426	538
442	427	537
443	427	535
444	428	534
445	428	532
446	429	531
447	429	529
448	430	528
449	430	526
450	431	525
451	431	523
452	432	522
453	433	520
454	433	519
455	434	517
456	434	516
457	435	514
458	435	513
459	436	512
460	436	510
461	437	509
462	438	508
463	438	506
464	439	505
465	439	503
466	440	502
467	440	501
468	441	499
469	442	498
470	442	497
471	443	495
472	443	494
473	444	493
474	444	491
475	445	490
476	445	488
477	446	487
478	446	486
479	447	484
480	448	483
481	448	482
482	449	480
483	449	479
484	450	478
485	450	476
486	451	475
487	451	474
488	452	472
489	453	471
490	453	470
491	454	468
492	454	467
493	455	466
494	456	465
495	456	464
496	457	463
497	458	461
498	459	460
499	459	459
500	460	458
501	461	457
502	462	456
503	462	455
504	463	454
505	464	453
506	464	451
507	465	450
508	466	449
509	466	448
510	467	447
511	468	446
512	469	445
513	469	444
514	470	443
515	471	441
516	471	440
517	472	439
518	473	438
519	473	437
520	474	436
521	475	435
522	475	433
523	476	432
524	477	431
525	477	430
526	478	429
527	479	428
528	479	427
529	480	425
530	480	424
531	481	423
532	482	422
533	483	421
534	483	420
535	484	419
536	485	418
537	485	417
538	486	416
539	487	414
540	487	413
541	488	412
542	489	411
543	489	410
544	490	409
545	490	408
546	491	407
547	492	405
548	492	404
549	493	403
550	493	402
551	494	401
552	494	400
553	495	398
554	496	397
555	496	396
556	497	395
557	497	394
558	498	393
559	498	391
560	499	390
561	499	389
562	500	388
563	501	387
564	501	386
565	502	385
566	502	383
567	503	382
568	503	381
569	504	380
570	504	379
571	505	378
572	506	377
573	506	376
574	507	375
575	508	374
576	508	372
577	509	371
578	509	370
579	510	369
580	511	368
581	511	367
582	512	366
583	513	365
584	514	364
585	514	363
586	515	362
587	515	361
588	516	360
589	517	359
590	517	358
591	518	357
592	518	356
593	519	355
594	519	353
595	520	352
596	521	351
597	521	350
598	522	349
599	522	348
600	523	347
601	523	346
602	524	345
603	524	344
604	525	343
605	525	341
606	526	340
607	527	339
608	527	338
609	528	337
610	528	336
611	529	335
612	529	334
613	530	333
614	531	332
615	531	331
616	532	330
617	532	329
618	533	328
619	534	327
620	534	326
621	535	325
622	535	324
623	536	323
624	536	322
625	537	321
626	538	320
627	538	319
628	539	318
629	539	317
630	540	316
631	541	315
632	541	314
633	542	312
634	542	312
635	543	311
636	544	310
637	545	309
638	545	308
639	546	307
640	547	306
641	547	305
642	548	304
643	548	303
644	549	302
645	549	301
646	550	300
647	550	299
648	551	298
649	552	297
650	552	296
651	553	295
652	553	294
653	554	293
654	554	292
655	555	291
656	555	290
657	556	289
658	556	288
659	557	287
660	557	286
661	558	285
662	559	284
663	559	283
664	560	282
665	560	281
666	561	280
667	561	279
668	562	278
669	562	277
670	563	276
671	564	275
672	564	274
673	565	273
674	565	272
675	566	271
676	566	270
677	567	269
678	568	268
679	568	267
680	569	266
681	569	265
682	570	264
683	571	263
684	571	262
685	572	261
686	572	260
687	573	260
688	573	259
689	574	258
690	575	257
691	576	256
692	576	255
693	577	254
694	577	253
695	578	252
696	579	251
697	579	250
698	580	249
699	581	249
700	581	248
701	582	247
702	582	246
703	583	245
704	584	244
705	584	243
706	585	242
707	585	241
708	586	240
709	586	239
710	587	238
711	588	237
712	588	237
713	589	236
714	590	235
715	590	234
716	591	233
717	592	232
718	592	231
719	593	230
720	594	229
721	594	228
722	595	228
723	595	227
724	596	226
725	596	225
726	597	224
727	598	223
728	598	222
729	599	221
730	599	220
731	600	219
732	601	218
733	601	218
734	602	217
735	602	216
736	603	215
737	603	214
738	604	213
739	605	212
740	605	211
741	606	210
742	607	209
743	607	209
744	608	208
745	608	207
746	609	206
747	610	205
748	610	204
749	611	203
750	611	202
751	612	202
752	613	201
753	613	200
754	614	199
755	614	198
756	615	197
757	615	196
758	616	195
759	617	194
760	617	193
761	618	193
762	618	192
763	619	191
764	619	190
765	620	189
766	621	188
767	622	187
768	622	187
769	623	186
770	623	185
771	624	184
772	624	183
773	625	182
774	625	181
775	626	180
776	627	179
777	627	179
778	628	178
779	628	177
780	629	176
781	630	175
782	631	174
783	631	174
784	632	173
785	632	172
786	633	171
787	633	170
788	634	169
789	635	168
790	635	168
791	636	167
792	637	166
793	637	165
794	638	164
795	639	163
796	639	162
797	640	162
798	640	161
799	641	160
800	642	159
801	642	158
802	643	157
803	643	156
804	644	156
805	644	155
806	645	154
807	645	153
808	646	152
809	647	151
810	647	150
811	648	150
812	649	149
813	650	148
814	650	147
815	651	146
816	652	146
817	652	145
818	653	144
819	653	143
820	654	142
821	654	141
822	655	140
823	655	140
824	656	139
825	656	138
826	657	137
827	658	136
828	658	135
829	659	135
830	659	134
831	660	133
832	660	132
833	661	131
834	661	130
835	662	129
836	662	129
837	663	128
838	664	127
839	664	126
840	665	125
841	665	124
842	666	124
843	667	123
844	667	122
845	668	121
846	668	120
847	669	119
848	669	119
849	670	118
850	671	117
851	671	116
852	672	115
853	672	115
854	673	114
855	673	113
856	674	112
857	675	111
858	675	110
859	676	110
860	676	109
861	677	108
862	677	107
863	678	106
864	679	105
865	679	105
866	680	104
867	681	103
868	681	102
869	682	101
870	683	101
871	683	100
872	684	99
873	685	98
874	685	97
875	686	97
876	686	96
877	687	95
878	688	94
879	688	93
880	689	93
881	689	92
882	690	91
883	690	90
884	691	89
885	691	89
886	692	88
887	692	87
888	693	86
889	694	85
890	694	84
891	695	84
892	695	83
893	696	82
894	696	81
895	697	80
896	698	80
897	698	79
898	699	78
899	699	77
900	700	76
901	701	76
902	701	75
903	702	74
904	702	73
905	703	72
906	703	72
907	704	71
908	704	70
909	705	69
910	705	68
911	706	68
912	706	67
913	707	66
914	708	65
915	708	64
916	709	64
917	709	63
918	710	62
919	710	61
920	711	61
921	712	60
922	713	59
923	713	58
924	714	57
925	715	57
926	715	56
927	716	55
928	716	54
929	717	53
930	717	53
931	718	52
932	718	51
933	719	50
934	720	50
935	720	49
936	721	48
937	721	47
938	722	46
939	722	46
940	723	45
941	724	44
942	724	43
943	725	43
944	725	42
945	726	41
946	727	40
947	727	39
948	728	39
949	728	38
950	729	37
951	730	36
952	730	36
953	731	35
954	731	34
955	732	33
956	733	32
957	733	32
958	734	31
959	734	30
960	735	29
961	735	29
962	736	28
963	736	27
964	737	26
965	737	25
966	738	25
967	738	24
968	739	23
969	740	22
970	740	22
971	741	21
972	741	20
973	742	19
974	743	19
975	743	18
976	744	17
977	745	16
978	745	15
979	746	15
980	747	14
981	747	13
982	748	12
983	749	12
984	749	11
985	750	10
986	750	9
987	751	9
988	752	8
989	753	7
990	754	6
991	755	6
992	756	5
993	757	4
994	758	3
995	759	3
996	760	2
997	761	1
998	762	0
999	763	0
